t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
4975,0.1317,-0.6289,0.6859,-6.61,8.27,-1.91,21.82
4985,0.1376,-0.6221,0.6926,-6.35,9.86,-1.94,21.82
4995,0.135,-0.619,0.6884,-7.59,10.03,-1.97,21.8
5005,0.1432,-0.6281,0.6862,-8.73,9.85,-2.03,21.81
5015,0.146,-0.6241,0.6853,-8.79,10.84,-1.68,21.8
5025,0.1449,-0.6254,0.6803,-8.31,11.13,-1.27,21.8
5035,0.1398,-0.6207,0.6794,-7.89,10.26,-1.21,21.79
5045,0.1405,-0.6207,0.673,-6.96,9.97,-1.05,21.8
5055,0.1361,-0.62,0.6687,-6.35,9.39,-0.98,21.8
5065,0.1354,-0.6207,0.6647,-6.14,8.44,-1.05,21.83
5075,0.1355,-0.624,0.6628,-6.11,7.97,-0.95,21.8
5085,0.2666,-0.8245,0.5721,-8.53,2.75,-2.06,21.81
5095,0.3168,-0.7336,0.6067,-31.53,-5.54,-12.53,21.82
5105,0.1677,-0.5088,0.6198,-26.56,2.6,-8.67,21.83
5115,0.1162,-0.575,0.5587,-15.3,14.2,0.49,21.83
5125,0.1346,-0.6477,0.5867,-10.81,18.27,2.64,21.82
5135,0.1417,-0.6761,0.6647,-10.27,17.88,0.99,21.8
5145,0.1432,-0.652,0.6892,-3.79,18.78,-0.73,21.8
5155,0.0961,-0.5853,0.6978,-0.85,15.02,-1.31,21.8
5165,0.0851,-0.6412,0.7244,1.27,12.32,0.92,21.82
5175,0.0841,-0.6501,0.7213,5.74,12.24,2.41,21.82
5185,0.099,-0.6118,0.7352,2.05,7.68,1.18,21.82
5195,0.0864,-0.5887,0.7446,-2.24,1.36,0.11,21.8
5205,0.0975,-0.5947,0.7401,-3.74,-1.33,-0.76,21.8
5215,0.1003,-0.6069,0.722,-4.06,-1.95,-0.53,21.8
5225,0.1147,-0.6188,0.7175,-3.76,-1.4,0.11,21.81
5235,0.1196,-0.6274,0.7147,-4.11,-1.07,-0.23,21.82
5245,0.1373,-0.6185,0.6923,-5.02,-0.61,-0.09,21.79
5255,0.1456,-0.6166,0.6699,-5.3,0.56,0.43,21.82
5265,0.1497,-0.6155,0.661,-4.9,1.97,0.96,21.82
5275,0.1562,-0.6144,0.6577,-4.55,3.48,1.44,21.8
5285,0.1565,-0.623,0.6588,-3.83,5.42,1.98,21.8
5295,0.1516,-0.6246,0.6592,-2.82,7.15,2.41,21.82
5305,0.1399,-0.6298,0.6727,-1.76,8.34,2.6,21.78
5315,0.1329,-0.6266,0.6683,-2.72,8.02,1.88,21.82
5325,0.1399,-0.6344,0.6758,-3.65,8.14,1.01,21.82
5335,0.1377,-0.632,0.6698,-3.28,9.08,0.69,21.8
5345,0.1345,-0.6272,0.6735,-3.1,8.7,0.87,21.81
5355,0.1329,-0.6268,0.6749,-3.01,7.94,1.1,21.81
5365,0.1326,-0.6249,0.6752,-3.27,6.82,1.04,21.8
5375,0.1394,-0.6244,0.674,-4.05,6.26,0.96,21.82
5385,0.1455,-0.6254,0.6729,-4.55,6.66,0.89,21.84
5395,0.1443,-0.6292,0.6749,-5.24,7.83,0.64,21.81
5405,0.1464,-0.6274,0.67,-6.12,8.72,0.31,21.82
5415,0.1415,-0.6228,0.6654,-6.85,9.11,0.03,21.82
5426,0.1388,-0.6243,0.6608,-6.93,9.76,-0.27,21.82
5436,0.1432,-0.6271,0.671,-6.5,10.2,-0.32,21.83
5446,0.1426,-0.6263,0.6781,-6.37,9.88,-0.34,21.83
5456,0.1406,-0.6265,0.6833,-6.44,9.39,-0.31,21.83
5466,0.1393,-0.6238,0.6819,-6.17,9.13,-0.24,21.79
5476,0.132,-0.6213,0.6886,-6.14,9.01,-0.41,21.82
5486,0.1329,-0.618,0.6897,-6.49,8.81,-0.63,21.81
5496,0.1327,-0.6168,0.686,-6.92,8.89,-0.64,21.82
5506,0.1343,-0.6223,0.6823,-7.13,8.85,-0.66,21.83
5516,0.1381,-0.6222,0.6805,-7.07,8.5,-0.67,21.81
5526,0.1407,-0.6189,0.6768,-7.11,8.4,-0.69,21.83
5536,0.1415,-0.6185,0.6769,-7.07,8.4,-0.7,21.83
5546,0.1458,-0.6212,0.6749,-7.01,7.92,-0.43,21.82
5556,0.1432,-0.6206,0.6691,-7.05,7.83,-0.31,21.82
5566,0.1448,-0.6238,0.6707,-6.92,7.97,-0.05,21.83
5576,0.1471,-0.6232,0.6641,-6.64,8.24,0.12,21.82
5586,0.1426,-0.625,0.6654,-6.47,8.29,0.32,21.83
5596,0.1443,-0.6233,0.6632,-6.37,8.34,0.35,21.84
