t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
4523,0.233,-0.0468,0.8794,-6.12,7.5,-0.18,24.36
4533,0.2406,-0.0408,0.8854,-6.17,7.6,-0.18,24.37
4543,0.2329,-0.048,0.8866,-6.21,7.33,-0.23,24.37
4553,0.2244,-0.0511,0.8989,-6.2,8.84,-0.24,24.39
4563,0.2545,-0.0549,0.8694,-6.09,8.0,-0.2,24.37
4573,0.2465,-0.0535,0.8879,-6.24,6.26,-0.12,24.38
4583,0.2218,-0.0591,0.9117,-6.2,8.89,-0.06,24.39
4593,0.2521,-0.0573,0.879,-6.15,8.72,-0.12,24.39
4603,0.2535,-0.0593,0.8696,-6.15,6.55,-0.15,24.39
4613,0.2246,-0.0565,0.8959,-6.08,7.79,-0.12,24.37
4623,0.231,-0.0516,0.8895,-6.2,9.44,0.02,24.39
4633,0.2571,-0.0504,0.8645,-6.02,7.54,0.08,24.41
4643,0.2344,-0.0465,0.8698,-6.05,6.69,0.11,24.39
4653,0.2107,-0.0389,0.8964,-6.03,8.67,0.05,24.39
4663,0.236,-0.0352,0.8805,-6.11,8.67,0.06,24.39
4673,0.2418,-0.0294,0.8823,-6.05,7.37,0.12,24.39
4683,0.2246,-0.0317,0.8887,-6.21,7.89,0.06,24.39
4693,0.2275,-0.0323,0.8853,-6.24,8.06,0.0,24.38
4703,0.2336,-0.0385,0.8888,-6.27,8.37,0.02,24.39
4713,0.2449,-0.0411,0.8749,-6.21,7.5,-0.09,24.4
4723,0.2244,-0.0452,0.8876,-6.31,7.85,-0.08,24.39
4733,0.2395,-0.0519,0.8794,-6.24,8.41,0.0,24.39
4743,0.2432,-0.0568,0.8793,-6.17,6.98,-0.12,24.37
4753,0.2222,-0.0635,0.8921,-6.09,8.31,-0.2,24.37
4763,0.228,-0.0641,0.8845,-6.14,8.79,-0.02,24.38
4773,0.2457,-0.0648,0.8623,-6.17,7.56,-0.03,24.38
4783,0.2419,-0.0658,0.8551,-6.11,6.79,0.11,24.38
4793,0.222,-0.0555,0.8777,-6.11,6.85,0.08,24.39
4803,0.2219,-0.0494,0.8876,-6.26,8.67,0.08,24.41
4813,0.2488,-0.0443,0.8713,-6.12,8.09,0.02,24.41
4823,0.2471,-0.0428,0.8767,-6.17,6.35,0.0,24.38
4833,0.2244,-0.0436,0.901,-6.26,7.73,-0.05,24.37
4843,0.2307,-0.0398,0.9026,-6.29,8.87,0.08,24.38
4853,0.2421,-0.0408,0.8894,-6.17,8.46,-0.11,24.39
4863,0.2465,-0.0479,0.8807,-6.21,7.94,-0.05,24.37
4873,0.241,-0.0483,0.8732,-6.05,6.98,-0.11,24.39
4883,0.2157,-0.0469,0.89,-6.06,7.65,-0.18,24.39
4893,0.2233,-0.0388,0.887,-6.02,9.18,0.02,24.37
4903,0.2402,-0.041,0.8771,-6.21,7.8,-0.15,24.4
4913,0.2333,-0.0361,0.8801,-6.24,6.98,-0.11,24.42
4923,0.2275,-0.0394,0.8944,-6.11,7.95,-0.12,24.41
4933,0.2302,-0.0422,0.8962,-6.21,8.67,-0.12,24.4
4943,0.2498,-0.0469,0.8695,-6.17,7.59,-0.14,24.39
4953,0.2347,-0.0503,0.8774,-6.09,6.76,-0.09,24.42
4963,0.2224,-0.051,0.8916,-6.14,8.08,-0.03,24.41
4973,0.2284,-0.0496,0.8827,-6.18,8.6,-0.05,24.42
4983,0.2416,-0.0406,0.8684,-6.09,7.69,0.0,24.4
