t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
4500,0.3304,-0.0262,0.864,-6.72,7.98,0.02,29.34
4510,0.3274,-0.0262,0.8643,-6.69,7.98,-0.18,29.34
4520,0.3289,-0.0249,0.8633,-6.73,7.89,-0.06,29.34
4530,0.3309,-0.0245,0.864,-6.67,7.95,-0.08,29.36
4540,0.3263,-0.025,0.8643,-6.67,7.94,-0.05,29.34
4550,0.3314,-0.0243,0.8627,-6.72,7.92,-0.11,29.37
4560,0.3335,-0.0243,0.8596,-6.64,7.85,-0.14,29.37
4570,0.326,-0.0243,0.8689,-6.7,7.97,0.0,29.37
4580,0.3267,-0.0237,0.8666,-6.72,8.09,-0.14,29.37
4590,0.3253,-0.0276,0.8651,-6.69,8.05,-0.03,29.34
4600,0.3274,-0.0278,0.8663,-6.79,7.95,0.02,29.35
4610,0.3254,-0.0286,0.8638,-6.72,7.91,-0.03,29.34
4620,0.3268,-0.0288,0.8674,-6.66,7.91,0.03,29.36
4630,0.3289,-0.0256,0.8627,-6.69,7.98,-0.08,29.37
4640,0.3311,-0.0251,0.8644,-6.72,7.91,-0.05,29.37
4650,0.3269,-0.0253,0.8613,-6.72,7.98,-0.03,29.36
4660,0.3262,-0.0249,0.865,-6.72,7.97,-0.09,29.37
4670,0.3274,-0.0258,0.865,-6.7,7.98,0.02,29.37
4680,0.3279,-0.0282,0.8644,-6.6,7.89,-0.05,29.36
4690,0.3281,-0.0255,0.8668,-6.66,7.94,0.0,29.36
4700,0.328,-0.0255,0.8638,-6.75,7.92,-0.05,29.37
4710,0.3273,-0.0249,0.8641,-6.64,7.89,-0.03,29.35
4720,0.3286,-0.0276,0.8669,-6.64,7.88,0.03,29.37
4730,0.327,-0.0264,0.8608,-6.75,7.91,-0.05,29.39
4740,0.3278,-0.0267,0.8628,-6.7,7.94,-0.05,29.37
4750,0.328,-0.0269,0.8611,-6.76,7.95,-0.09,29.37
4760,0.3281,-0.0255,0.8684,-6.64,7.97,-0.12,29.36
4770,0.3269,-0.0245,0.8684,-6.7,7.97,-0.11,29.38
4780,0.3286,-0.0223,0.8617,-6.81,7.88,-0.06,29.38
4790,0.3313,-0.0253,0.8617,-6.75,7.91,-0.11,29.37
4800,0.3293,-0.0255,0.8634,-6.73,7.94,-0.03,29.36
4810,0.3296,-0.0251,0.8623,-6.69,7.95,0.03,29.35
4820,0.326,-0.027,0.8666,-6.75,7.94,0.03,29.37
4830,0.3264,-0.0237,0.8624,-6.64,7.97,-0.14,29.39
4840,0.3276,-0.0271,0.8638,-6.73,7.98,-0.06,29.38
4850,0.3285,-0.0262,0.868,-6.72,7.94,-0.02,29.37
4860,0.3268,-0.025,0.8646,-6.66,8.02,0.03,29.39
4870,0.3262,-0.0244,0.8613,-6.69,7.97,-0.05,29.39
